"nm_customer","nm_audience","nm_ultra_segmentation"
Uhuu,Uhuu,[REL] Compradores Tributo Bon Jovi - Riomar
Uhuu,Uhuu,[REL] Compradores Chitãozinho e Xororó
Uhuu,Uhuu,Teste Laureate
Uhuu,Uhuu,[AQ] Compradores Rio Grande do Sul
Uhuu,Uhuu,dominos
Uhuu,Uhuu,VIVO
Uhuu,Uhuu,GLOBO
Uhuu,Uhuu,[REL] Compradores Xuxa
Uhuu,Uhuu,[AQ] Emmerson Nogueira
Uhuu,Uhuu,[AQ] Scott Stap
Uhuu,Uhuu,[AQ] Tiago Iorc - Interesse
Uhuu,Uhuu,[AQ] Mulheres não são chatas
Uhuu,Uhuu,[AQ] Scott Stapp - Brasília
Uhuu,Uhuu,[AQ] Scott Stapp - Ceará
Uhuu,Uhuu,teste advb   
Uhuu,Uhuu,Teste Argentina
Uhuu,Uhuu,[AQ] Xuxa Xou - Curitiba
Uhuu,Uhuu,[AQ] Luccas Neto - Interesse
Uhuu,Uhuu,[AQ] Silva canta Marisa
Uhuu,Uhuu,Teste Bahia
Uhuu,Uhuu,jeunesse teste
Uhuu,Uhuu,teste latam
Uhuu,Uhuu,[AQ] Scott Stapp POA
Uhuu,Uhuu,[AQ] Vênus - Gira de Dança
Uhuu,Uhuu,[REL] Compradores Luccas Neto - POA
Uhuu,Uhuu,Teste Kartera
Uhuu,Uhuu,Teste Centro
Uhuu,Uhuu,[AQ] Base de compradores RJ
Uhuu,Uhuu,[AQ] Base de Compradores SP
Uhuu,Uhuu,[AQ] Base Compradores RS
Uhuu,Uhuu,[AQ] Base de compradores Curitiba
Uhuu,Uhuu,[AQ] Base de compradores Natal e Recife
Uhuu,Uhuu,[AQ] Maria Rita Pelotad
Uhuu,Uhuu,[AQ] Maria Rita Pelotas
Uhuu,Uhuu,Teste 
Uhuu,Uhuu,[AQ] Pré Venda KISS
Uhuu,Uhuu,Teste
Uhuu,Uhuu,[AQ] Compradores Rock Ao vivo
Uhuu,Uhuu,[AQ] Universo Alegria
Uhuu,Uhuu,[REL] Compradores Xuxa Curitiba
Uhuu,Uhuu,[AQ] Base de compradores RS
Uhuu,Uhuu,[AQ] Compradores RS
Uhuu,Uhuu,KISS
Uhuu,Uhuu,[AQ] MPB Novo Hamburgo
Uhuu,Uhuu,[AMP] MPB POA
Uhuu,Uhuu,[AQ] Larissa Manoela
Uhuu,Uhuu,Teste
Uhuu,Uhuu,teste
Uhuu,Uhuu,[AQ] Todos os Toms - POA
Uhuu,Uhuu,[AQ] Moacyr Franco - POA
Uhuu,Uhuu,[REL] Compradores Universo Alegria
Uhuu,Uhuu,[REL] Compradores de Fito Paez
Uhuu,Uhuu,[REL] Compradores Lulu Santos POA
Uhuu,Uhuu,[PES] Compradores Teatro Opus 2019
Uhuu,Uhuu,[PES] Compradores Teatro Bradesco -SP - 2019
Uhuu,Uhuu,Mulheres 20 - 25 anos
Uhuu,Uhuu,[AQ] Compradores Disney 2019 - RJ
Uhuu,Uhuu,[AQ] Compradores Disney SP 2019
Uhuu,Uhuu,tetstetetetetet
Uhuu,Uhuu,[AQ] Sunset
Uhuu,Uhuu,[AQ] Disney 2020 - POA
Uhuu,Uhuu,[AQ] Disney 2020- CWB
Uhuu,Uhuu,[REL] Roupa Nova - Music Hall
Uhuu,Uhuu,[AQ]  Lulu Santos - Passo Fundo
Uhuu,Uhuu,[REL] Compradores do Universo Alegria - até 11/12
Uhuu,Uhuu,[AQ] Interesse em eventos Infatil - SP
Uhuu,Uhuu,[AQ] Compradores Infatil RJ
Uhuu,Uhuu,[REL] Compradores Universo Alegria - 2019
Uhuu,Uhuu,[AQ] Compradores Via Music Hall
Uhuu,Uhuu,Interesse em Pop e Pagode - RJ
Uhuu,Uhuu,[REL] Compradores Monster
Uhuu,Uhuu,Compradores Pit Party 2019
Uhuu,Uhuu,[REL] Compradores Sunset 2019
Uhuu,Uhuu,[REL] Compradores Monster Jam 2019
Uhuu,Uhuu,Usuários inativos > 12 m
Uhuu,Uhuu,Base Teatro Opus
Uhuu,Uhuu,Bradesco - teste
Uhuu,Uhuu,Casas OPUS+ 2019 (perfil) 
Uhuu,Uhuu,[AMP] Clássicos RS
Uhuu,Uhuu,[AMP] Interesse em Dança e Musical
Uhuu,Uhuu,[AMP] Interesse em Rock e Rock Clássico em RS
Uhuu,Uhuu,[AMP] Rock e Rock clássico em CWB
Uhuu,Uhuu,[AMP] Compradores Rock e Rock Clássico em Brasilia
Uhuu,Uhuu,[AMP] Interesse em Pagode e Samba - POA e Xangri-lá
Uhuu,Uhuu,Clientes Uhuu + Madero
Uhuu,Uhuu,Sertanejo e Pagode POA
Uhuu,Uhuu,[EXP] Compradores Camarote 23/02
Uhuu,Uhuu,[EXP] Compradores Camarote 24/02
Uhuu,Uhuu,[EXP] Compradores Camarote 29/02
Uhuu,Uhuu,[EXP] Compradores Camarote 22/02
Uhuu,Uhuu,[EXP] Compradores Camarote 29/02 - Sicoob
Uhuu,Uhuu,[EXP] Compradores Camarote 23/02 - Sicoob
Uhuu,Uhuu,[EXP] Compradores Camarote 24/02 - Sicoob
Uhuu,Uhuu,Teste UCS
Uhuu,Uhuu,[EXP] Compradores Camarote Arpoador - 21.2
Uhuu,Uhuu,[EXP] Passaporte 3 dias - Camarote Arpoador
Uhuu,Uhuu,[EXP] Passaporte 5 dias - Camarote Arpoador
Uhuu,Uhuu,[REL] Camarote Arpoador 22.2 | Compradores Ontem
Uhuu,Uhuu,[REL] Camarote Arpoador 23.2 | Compradores Ontem
Uhuu,Uhuu,[REL] Camarote Arpoador 24.2 | Compradores Ontem
Uhuu,Uhuu,[REL] Camarote Arpoador 29.2 | Compradores Ontem
Uhuu,Uhuu,[REL] Camarote Arpoador SICOOB 23.2 | Compradores Ontem
Uhuu,Uhuu,[REL] Camarote Arpoador SICOOB 24.2 | Compradores Ontem
Uhuu,Uhuu,[REL] Camarote Arpoador SICOOB 29.2 | Compradores Ontem
Uhuu,Uhuu,[EXP] Compradores de Anos Anteriores - Fórum da Liberdade
Uhuu,Uhuu,[EXP] Compradores Camarote Arpoador
Uhuu,Uhuu,[AMP] Fórum da Liberdade
Uhuu,Uhuu,[EXP] Interesse em Camarote Arpoadora
Uhuu,Uhuu,Teste CDC - 2019
Uhuu,Uhuu,Teste CDC -2018
Uhuu,Uhuu,[ESP] Carrinho Abandonado - Camarote Arpoador
Uhuu,Uhuu,[REL] CAMAROTE ARPOADOR - COMPRADORES
Uhuu,Uhuu,aniversariantes
Uhuu,Uhuu,[REL] Credenciados Camarote Arpoador
Uhuu,Uhuu,[REL] Compradores e credenciados - Camarote Arpoador
Uhuu,Uhuu,[REL] Compradores Baila Maori
Uhuu,Uhuu,[EXP] Compradores Camarote Arpoador - 21/02
Uhuu,Uhuu,[AMP] Palestras em POA
Uhuu,Uhuu,[AMP] Camarote Arpoador
Uhuu,Uhuu,[AMP] Musical Infantil
Uhuu,Uhuu,[AMP] POP e MPB em POA
Uhuu,Uhuu,GAL
Uhuu,Uhuu,[INFO] Galinha Pintadinha
Uhuu,Uhuu,[INFO] Um dia na Broadway
Uhuu,Uhuu,[INFO] A bela e a Fera 14 e 15/03
Uhuu,Uhuu,[INFO] Show do Xaro
Uhuu,Uhuu,[INFO] Arnaldo Antunes
Uhuu,Uhuu,[INFO] Chaves
Uhuu,Uhuu,[INFO] Show do Bita
Uhuu,Uhuu,[INFO] VP Series de Arrancada
Uhuu,Uhuu,[INFO] Fórum da Liberdade
Uhuu,Uhuu,[INFO] Hendrix in Concert
Uhuu,Uhuu,[INFO] Baile do nego veio
Uhuu,Uhuu,[INFO] Jorge e Mateus - RJ
Uhuu,Uhuu,[INFO] Luan Santana - RJ
Uhuu,Uhuu,[INFO] Ana Carolina - RJ
Uhuu,Uhuu,[INFO] Vou Pro Sereno & Clareou
Uhuu,Uhuu,[INFO] Djavan POA
Uhuu,Uhuu,[INFO] Almir Sater
Uhuu,Uhuu,[INFO] Afonso Padilha - Recife
Uhuu,Uhuu,[INFO] Afonso Padilha - Fortaleza
Uhuu,Uhuu,[INFO] Gong and Steve Hillage
Uhuu,Uhuu,[INFO] Queen Experience In Concert
Uhuu,Uhuu,[INFO] Lenine
Uhuu,Uhuu,[INFO] Mução ao Vivo
Uhuu,Uhuu,[INFO] A Mentira
Uhuu,Uhuu,[INFO] Samba In Caxias
Uhuu,Uhuu,[INFO] Uma Noite em Buenos Aires
Uhuu,Uhuu,[INFO] Almir Sater
Uhuu,Uhuu,[INFO] Silva
Uhuu,Uhuu,[INFO] Joanna 40 anos
Uhuu,Uhuu,[INFO] Terça Raiz
Uhuu,Uhuu,[INFO] Orquestra Filarmônica do Ceará 
Uhuu,Uhuu,[INFO] Hey Jude
Uhuu,Uhuu,[INFO] O Homem Mais Inteligente da História
Uhuu,Uhuu,[INFO] Lulu Santos Riachuelo
Uhuu,Uhuu,[INFO] Show da Luna - Bradesco
Uhuu,Uhuu,[INFO] Melim - NH
Uhuu,Uhuu,[INFO] Melim - POA
Uhuu,Uhuu,[INFO]  Pink Floyd Experience in Concert
Uhuu,Uhuu,[INFO] Diogo Almeida - Vida de Professor
Uhuu,Uhuu,[INFO] Abba In Concert
Uhuu,Uhuu,[INFO] Show do Bita - 18 e 19/04
Uhuu,Uhuu,[INFO] Almir Sater POA
Uhuu,Uhuu,[INFO] Kleiton & Kledir + Nenhum de Nós
Uhuu,Uhuu,[INFO] OSPA apresenta: 40 Anos Kleiton & Kledir
Uhuu,Uhuu,[INFO] Deva Premal & Miten com Manose e a Temple Band
Uhuu,Uhuu,[INFO] Murilo Couto - Fortaleza
Uhuu,Uhuu,[INFO] Murilo Couto - Recife
Uhuu,Uhuu,[INFO~The Fevers
Uhuu,Uhuu,[INFO] Richard Clayderman
Uhuu,Uhuu,[AMP] Ativos de RS - 2019
Uhuu,Uhuu,[AMP] Ativos RJ - 2019
Uhuu,Uhuu,[AMP] Ativos de SP - 2019
Uhuu,Uhuu,[AMP] Ativos de RN - 2019
Uhuu,Uhuu,[AMP] Ativos do CE - 2019
Uhuu,Uhuu,[AMP] Ativos PE  2019
Uhuu,Uhuu,[AMP] Ativos PR -2019
Uhuu,Uhuu,[AMP] Ativo Distrito Federal - 2019
Uhuu,Uhuu,[INFO] Ballet de São Petersburgo no Gelo
Uhuu,Uhuu,Teste
Uhuu,Uhuu,SP
Uhuu,Uhuu,[INFO] KISS em POA
Uhuu,Uhuu,[AMP] Compradores Teatro Opus
Uhuu,Uhuu,[AMP] Compradores TDBC
Uhuu,Uhuu,[INFO] KISS em Curitiba
Uhuu,Uhuu,[INFO] KISS em Brasilia
Uhuu,Uhuu,[INFO] Zizi e Luiza
Uhuu,Uhuu,Bio Social
Uhuu,Uhuu,[INFO] Disney On Ice - RS
Uhuu,Uhuu,[INFO] Disney on Ice - CWB
Uhuu,Uhuu,[INFO] Disney on Ice - RIO
Uhuu,Uhuu,[INFO] Disney on Ice - SP
Uhuu,Uhuu,[AMP] SOMA
Uhuu,Uhuu,[INFO]  Vendedor de Sonhos - TR
Uhuu,Uhuu,[INFO] O Vendedor de Sonhos - TRMR
Uhuu,Uhuu,[INFO] Overdriver Duo
Uhuu,Uhuu,Live Fernando Honorato - POA - 25 - 44
Uhuu,Uhuu,SP - Live Fernando Honorato 
Uhuu,Uhuu,RJ - Live Fernando Honorato - 25 - 44
Uhuu,Uhuu,[INFO] Bilheteria Cancelados Opus
Uhuu,Uhuu,[INFO] Tiquequê
Uhuu,Uhuu,[INFO] Luccas Neto -25/04
Uhuu,Uhuu,[INFO] A bela e Fera - 4 e 5/4
Uhuu,Uhuu,[INFO] Fábio Jr. 10/07
Uhuu,Uhuu,[INFO] Soft Machine
Uhuu,Uhuu,[INFO] Imagine Tributo
Uhuu,Uhuu,[INFO] Samba do BokaLoka
Uhuu,Uhuu,[INFO] Jorge Aragao
Uhuu,Uhuu,[INFO] Tributo ao Síndico
Uhuu,Uhuu,[INFO] Mágico de Oz
Uhuu,Uhuu,Show do bita 2020
Uhuu,Uhuu,testeeeeeeee
Uhuu,Uhuu,[AQ] Luccas Neto
Uhuu,Uhuu,Eventos Opus Adiados
Uhuu,Uhuu,[INFO] Cláudio Duarte
Uhuu,Uhuu,[INFO]Joanna
Uhuu,Uhuu,[AMP] Interesse em Sertanejo acima de 35
Uhuu,Uhuu,Momens
Uhuu,Uhuu,Sandy e Jr 20-35 anos + não Lulu e Anavitoria
Uhuu,Uhuu,PEDRO TESTANDO
Uhuu,Uhuu,[AMP] Personas Bot Universal
Uhuu,Uhuu,[AQ] Fãs de Anavitória
Uhuu,Uhuu,[AQ] Fãs de Lulu Santos
Uhuu,Uhuu,[AQ] Fãs de Sandy e Júnior
Uhuu,Uhuu,F > 60 anos
Uhuu,Uhuu,não recebem e-mail
Uhuu,Uhuu,não podem receber SMS
Uhuu,Uhuu,Bilheteria
Uhuu,Uhuu,[AMP] Fãs de Rock - 
Unesul,Unesul,Teste - Optin No
Unesul,Unesul,Wifi
Unesul,Unesul,Origem Bento Gonçalves - Ecommerce
Unesul,Unesul,Destino Passo Fundo
Unesul,Unesul,News 13/09
Unesul,Unesul,Base Encomendas 18 Setembro 2019
Unesul,Unesul,Despachantes Aduaneiros Set19
Unesul,Unesul,CAPÃO >> POA
Unesul,Unesul,TORRES >> POA
Unesul,Unesul,POA >> TORRES
Unesul,Unesul,POA >> TRAMANDAÍ
Unesul,Unesul,TRAMANDAÍ >> POA
Unesul,Unesul,POA >> ERECHIM
Unesul,Unesul,ERECHIM >> POA
Unesul,Unesul,POA X CAPÃO OK
Unesul,Unesul,Capão + Tramandaí
Unesul,Unesul,Wifi teste
Unesul,Unesul,Interestaduais 08 abril
Unesul,Unesul,Base WIfi 2019/2020
Unesul,Unesul,Acesso Wifi (relacionamento
